"","ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensem","symbol"
"1","ENSG00000187634.13;clean;chr1:924948-925921",25.5833333333333,-0.31365945540547,0.929165118623659,-0.337571276750125,0.735686290622067,0.926412772440584,"ENSG00000187634","SAMD11"
"2","ENSG00000187634.13;clean;chr1:926013-930154",33.5,0.369855495526134,0.698333012337481,0.529626251361284,0.596371089628714,0.873298101660094,"ENSG00000187634","SAMD11"
"3","ENSG00000187634.13;anti-near;chr1:941306-942135",30.0833333333333,1.66688537871224,1.09448260515707,1.52298937494125,0.127761363675036,0.539791761527028,"ENSG00000187634","SAMD11"
"4","ENSG00000187634.13;anti-near;chr1:942251-942409",41.25,1.0486186105382,0.79819797981497,1.31373247872825,0.188936247062875,0.610334025650776,"ENSG00000187634","SAMD11"
"5","ENSG00000187634.13;anti-near;chr1:942488-942558",48.0833333333333,1.59715832902344,0.952986677304986,1.67595032234884,0.0937479236184672,0.489194707769516,"ENSG00000187634","SAMD11"
"6","ENSG00000187634.13;anti-near;chr1:943058-943252",39.75,0.154460316177178,0.781849098109581,0.197557708451215,0.843391126328969,0.95969364722708,"ENSG00000187634","SAMD11"
"7","ENSG00000187634.13;anti-near;chr1:943377-943697",44.0833333333333,-0.00958568678803332,0.955502207893879,-0.0100320927663392,0.991995682332358,0.997695637002029,"ENSG00000187634","SAMD11"
"8","ENSG00000187634.13;known-exon+anti-near;chr1:943808-943907",60.75,0.750314199105132,0.557142286915698,1.34671917161201,0.178070695330314,0.596864353525986,"ENSG00000187634","SAMD11"
"9","ENSG00000187961.15;clean;chr1:960800-961292",15.8333333333333,-0.874466884336401,1.10932561623534,-0.78828692994942,0.430528890966047,0.787440338230671,"ENSG00000187961","KLHL17"
"10","ENSG00000187961.15;clean;chr1:961552-961628",31.4166666666667,0.0345988281692927,0.817354640806089,0.0423302523066007,0.966235429039879,0.992783726111281,"ENSG00000187961","KLHL17"
"11","ENSG00000187961.15;clean;chr1:961750-961825",31.0833333333333,-0.43780740373303,0.897804536741377,-0.487642227028695,0.625803279916274,0.886088345137885,"ENSG00000187961","KLHL17"
"12","ENSG00000187961.15;clean;chr1:962047-962354",25.0833333333333,-0.803765305907859,0.66953439789789,-1.20048396084116,0.229951438125431,0.651727027369582,"ENSG00000187961","KLHL17"
"13","ENSG00000187961.15;clean;chr1:962471-962703",26,0.551099252902846,0.599730478849615,0.918911531659935,0.35814184774207,0.745805479406793,"ENSG00000187961","KLHL17"
"14","ENSG00000187961.15;clean;chr1:963253-963336",29,-1.13673941334305,0.719729447028923,-1.57939822809191,0.11424474354781,0.518817094981913,"ENSG00000187961","KLHL17"
"15","ENSG00000187961.15;clean;chr1:963504-963919",43.1666666666667,-0.222680866107256,0.620657542490012,-0.358782179966562,0.719758044654808,0.922378544265099,"ENSG00000187961","KLHL17"
